ParentNode [0,766] X:-320.00,320.00  Y:-320.00,320.00  Z:-320.00,320.00
mzb:532, mmb:103  X:(264.31,265.66),  Y:(-46.69,-45.69),  Z:(181.07,182.41)
mzb:538, mmb:49  X:(269.52,270.90),  Y:(-52.85,-45.46),  Z:(180.71,182.35)
Parent: 2195,59] ChildBox 6)  X:(240.00,260.00)  Y:(-60.00,-40.00)  Z:(160.00,180.00)
mzb:401, mmb:105  X:(245.38,246.42),  Y:(-42.94,-41.98),  Z:(174.85,175.90)
mzb:403, mmb:107  X:(245.55,247.01),  Y:(-43.18,-42.96),  Z:(173.83,174.92)
mzb:445, mmb:102  X:(245.89,247.39),  Y:(-43.46,-41.96),  Z:(172.32,173.82)
mzb:446, mmb:101  X:(245.76,246.97),  Y:(-42.97,-41.97),  Z:(173.91,175.12)
mzb:447, mmb:103  X:(249.43,250.84),  Y:(-46.45,-45.45),  Z:(175.69,177.10)
mzb:448, mmb:100  X:(249.94,252.51),  Y:(-46.39,-45.40),  Z:(173.36,175.39)
mzb:449, mmb:103  X:(252.09,253.15),  Y:(-49.54,-48.54),  Z:(171.42,172.48)
mzb:457, mmb:61  X:(253.98,254.12),  Y:(-47.18,-45.28),  Z:(178.04,179.94)
mzb:458, mmb:61  X:(253.98,254.12),  Y:(-47.18,-45.28),  Z:(176.04,177.94)
mzb:459, mmb:61  X:(253.98,254.12),  Y:(-47.18,-45.28),  Z:(174.04,175.94)
mzb:460, mmb:61  X:(253.98,254.12),  Y:(-47.18,-45.28),  Z:(172.04,173.94)
mzb:461, mmb:61  X:(253.98,254.12),  Y:(-47.18,-45.28),  Z:(170.04,171.94)
mzb:479, mmb:100  X:(249.86,252.05),  Y:(-47.36,-46.37),  Z:(171.82,174.45)
mzb:497, mmb:55  X:(246.06,248.16),  Y:(-44.88,-41.98),  Z:(170.77,173.14)
mzb:511, mmb:99  X:(250.28,252.00),  Y:(-47.99,-47.33),  Z:(172.39,174.13)
mzb:529, mmb:100  X:(249.53,251.99),  Y:(-46.39,-45.40),  Z:(171.77,173.57)
mzb:544, mmb:102  X:(251.62,253.70),  Y:(-48.55,-47.05),  Z:(170.97,173.05)
mzb:545, mmb:102  X:(251.75,253.58),  Y:(-47.06,-45.56),  Z:(171.09,172.93)
mzb:546, mmb:102  X:(249.71,251.68),  Y:(-47.00,-45.50),  Z:(169.73,171.70)
mzb:549, mmb:55  X:(240.52,243.36),  Y:(-41.82,-41.29),  Z:(173.45,176.84)
Parent: 2195,59] ChildBox 7)  X:(260.00,280.00)  Y:(-60.00,-40.00)  Z:(160.00,180.00)
mzb:391, mmb:101  X:(264.97,265.97),  Y:(-47.46,-46.46),  Z:(178.91,179.91)
mzb:392, mmb:101  X:(264.35,265.35),  Y:(-47.52,-46.52),  Z:(177.86,178.86)
mzb:393, mmb:101  X:(264.74,265.74),  Y:(-48.46,-47.46),  Z:(178.53,179.53)
mzb:481, mmb:102  X:(263.27,265.09),  Y:(-52.47,-50.97),  Z:(172.42,174.24)
mzb:482, mmb:102  X:(263.93,265.56),  Y:(-52.47,-50.97),  Z:(169.93,171.56)
mzb:483, mmb:104  X:(260.64,262.27),  Y:(-48.02,-46.52),  Z:(174.38,176.01)
mzb:484, mmb:104  X:(262.34,264.17),  Y:(-48.02,-46.52),  Z:(175.60,177.42)
mzb:486, mmb:100  X:(260.58,263.24),  Y:(-51.97,-50.98),  Z:(174.66,177.01)
mzb:507, mmb:102  X:(260.47,262.41),  Y:(-55.48,-53.98),  Z:(174.43,176.36)
mzb:508, mmb:102  X:(261.58,263.51),  Y:(-55.48,-53.98),  Z:(172.98,174.91)
mzb:509, mmb:100  X:(260.36,263.02),  Y:(-50.48,-49.49),  Z:(174.76,177.14)
mzb:510, mmb:101  X:(266.71,267.80),  Y:(-50.49,-49.49),  Z:(170.22,171.30)
mzb:513, mmb:100  X:(260.56,263.22),  Y:(-50.48,-49.49),  Z:(176.57,178.92)
mzb:517, mmb:101  X:(262.50,263.88),  Y:(-52.98,-51.98),  Z:(170.98,172.36)
mzb:536, mmb:101  X:(260.81,262.09),  Y:(-56.48,-55.48),  Z:(174.95,176.23)
mzb:537, mmb:101  X:(262.65,263.73),  Y:(-51.97,-50.97),  Z:(171.12,172.21)
mzb:547, mmb:102  X:(261.03,262.87),  Y:(-55.48,-53.98),  Z:(176.52,178.36)
Parent: 2133,62] ChildBox 3)  X:(280.00,320.00)  Y:(-80.00,-40.00)  Z:(160.00,200.00)
Parent: 2133,62] ChildBox 4)  X:(240.00,280.00)  Y:(-40.00,0.00)  Z:(200.00,240.00)
Parent: 2133,62] ChildBox 5)  X:(280.00,320.00)  Y:(-40.00,0.00)  Z:(200.00,240.00)
Parent: 2133,62] ChildBox 6)  X:(240.00,280.00)  Y:(-40.00,0.00)  Z:(160.00,200.00)
Parent: 2133,62] ChildBox 7)  X:(280.00,320.00)  Y:(-40.00,0.00)  Z:(160.00,200.00)
Parent: 774,363] ChildBox 6)  X:(0.00,160.00)  Y:(-160.00,0.00)  Z:(0.00,160.00)
mzb:62, mmb:69  X:(3.76,36.85),  Y:(-18.12,-7.38),  Z:(79.00,121.00)
mzb:63, mmb:70  X:(14.63,25.45),  Y:(-18.12,-7.49),  Z:(68.39,81.00)
mzb:206, mmb:58  X:(12.82,14.06),  Y:(-11.77,-10.19),  Z:(90.43,91.66)
mzb:207, mmb:1  X:(22.57,23.07),  Y:(-4.50,-2.04),  Z:(155.52,156.02)
mzb:211, mmb:56  X:(18.00,20.00),  Y:(-10.85,-8.00),  Z:(119.74,120.06)
mzb:212, mmb:57  X:(17.45,22.55),  Y:(-13.50,-8.00),  Z:(119.50,120.50)
mzb:213, mmb:62  X:(15.38,24.62),  Y:(-20.00,-7.58),  Z:(116.00,124.00)
mzb:214, mmb:56  X:(22.00,24.00),  Y:(-10.85,-8.00),  Z:(119.74,120.06)
mzb:272, mmb:104  X:(1.02,2.52),  Y:(-2.10,-0.60),  Z:(157.44,158.94)
mzb:350, mmb:102  X:(0.18,2.29),  Y:(-3.58,-2.08),  Z:(156.21,158.32)
mzb:375, mmb:99  X:(0.44,1.68),  Y:(-4.24,-3.58),  Z:(156.76,158.42)
ParentNode [2303,11] X:0.00,160.00  Y:-160.00,0.00  Z:0.00,160.00
Parent: 2303,11] ChildBox 0)  X:(0.00,80.00)  Y:(-160.00,-80.00)  Z:(80.00,160.00)
Parent: 2303,11] ChildBox 1)  X:(80.00,160.00)  Y:(-160.00,-80.00)  Z:(80.00,160.00)
Parent: 2303,11] ChildBox 2)  X:(0.00,80.00)  Y:(-160.00,-80.00)  Z:(0.00,80.00)
Parent: 2303,11] ChildBox 3)  X:(80.00,160.00)  Y:(-160.00,-80.00)  Z:(0.00,80.00)
Parent: 2303,11] ChildBox 4)  X:(0.00,80.00)  Y:(-80.00,0.00)  Z:(80.00,160.00)
mzb:206, mmb:58  X:(12.82,14.06),  Y:(-11.77,-10.19),  Z:(90.43,91.66)
mzb:207, mmb:1  X:(22.57,23.07),  Y:(-4.50,-2.04),  Z:(155.52,156.02)
mzb:211, mmb:56  X:(18.00,20.00),  Y:(-10.85,-8.00),  Z:(119.74,120.06)
mzb:212, mmb:57  X:(17.45,22.55),  Y:(-13.50,-8.00),  Z:(119.50,120.50)
mzb:213, mmb:62  X:(15.38,24.62),  Y:(-20.00,-7.58),  Z:(116.00,124.00)
mzb:214, mmb:56  X:(22.00,24.00),  Y:(-10.85,-8.00),  Z:(119.74,120.06)
mzb:272, mmb:104  X:(1.02,2.52),  Y:(-2.10,-0.60),  Z:(157.44,158.94)
mzb:350, mmb:102  X:(0.18,2.29),  Y:(-3.58,-2.08),  Z:(156.21,158.32)
mzb:375, mmb:99  X:(0.44,1.68),  Y:(-4.24,-3.58),  Z:(156.76,158.42)
ParentNode [2314,9] X:0.00,80.00  Y:-80.00,0.00  Z:80.00,160.00
Parent: 2314,9] ChildBox 0)  X:(0.00,40.00)  Y:(-80.00,-40.00)  Z:(120.00,160.00)
Parent: 2314,9] ChildBox 1)  X:(40.00,80.00)  Y:(-80.00,-40.00)  Z:(120.00,160.00)
Parent: 2314,9] ChildBox 2)  X:(0.00,40.00)  Y:(-80.00,-40.00)  Z:(80.00,120.00)
Parent: 2314,9] ChildBox 3)  X:(40.00,80.00)  Y:(-80.00,-40.00)  Z:(80.00,120.00)
Parent: 2314,9] ChildBox 4)  X:(0.00,40.00)  Y:(-40.00,0.00)  Z:(120.00,160.00)
mzb:207, mmb:1  X:(22.57,23.07),  Y:(-4.50,-2.04),  Z:(155.52,156.02)
mzb:272, mmb:104  X:(1.02,2.52),  Y:(-2.10,-0.60),  Z:(157.44,158.94)
mzb:350, mmb:102  X:(0.18,2.29),  Y:(-3.58,-2.08),  Z:(156.21,158.32)
mzb:375, mmb:99  X:(0.44,1.68),  Y:(-4.24,-3.58),  Z:(156.76,158.42)
ParentNode [2323,4] X:0.00,40.00  Y:-40.00,0.00  Z:120.00,160.00
Parent: 2323,4] ChildBox 0)  X:(0.00,20.00)  Y:(-40.00,-20.00)  Z:(140.00,160.00)
Parent: 2323,4] ChildBox 1)  X:(20.00,40.00)  Y:(-40.00,-20.00)  Z:(140.00,160.00)
Parent: 2323,4] ChildBox 2)  X:(0.00,20.00)  Y:(-40.00,-20.00)  Z:(120.00,140.00)
Parent: 2323,4] ChildBox 3)  X:(20.00,40.00)  Y:(-40.00,-20.00)  Z:(120.00,140.00)
Parent: 2323,4] ChildBox 4)  X:(0.00,20.00)  Y:(-20.00,0.00)  Z:(140.00,160.00)
mzb:272, mmb:104  X:(1.02,2.52),  Y:(-2.10,-0.60),  Z:(157.44,158.94)
mzb:350, mmb:102  X:(0.18,2.29),  Y:(-3.58,-2.08),  Z:(156.21,158.32)
mzb:375, mmb:99  X:(0.44,1.68),  Y:(-4.24,-3.58),  Z:(156.76,158.42)
Parent: 2323,4] ChildBox 5)  X:(20.00,40.00)  Y:(-20.00,0.00)  Z:(140.00,160.00)
mzb:207, mmb:1  X:(22.57,23.07),  Y:(-4.50,-2.04),  Z:(155.52,156.02)
Parent: 2323,4] ChildBox 6)  X:(0.00,20.00)  Y:(-20.00,0.00)  Z:(120.00,140.00)
Parent: 2323,4] ChildBox 7)  X:(20.00,40.00)  Y:(-20.00,0.00)  Z:(120.00,140.00)
Parent: 2314,9] ChildBox 5)  X:(40.00,80.00)  Y:(-40.00,0.00)  Z:(120.00,160.00)
Parent: 2314,9] ChildBox 6)  X:(0.00,40.00)  Y:(-40.00,0.00)  Z:(80.00,120.00)
mzb:206, mmb:58  X:(12.82,14.06),  Y:(-11.77,-10.19),  Z:(90.43,91.66)
Parent: 2314,9] ChildBox 7)  X:(40.00,80.00)  Y:(-40.00,0.00)  Z:(80.00,120.00)
Parent: 2303,11] ChildBox 5)  X:(80.00,160.00)  Y:(-80.00,0.00)  Z:(80.00,160.00)
Parent: 2303,11] ChildBox 6)  X:(0.00,80.00)  Y:(-80.00,0.00)  Z:(0.00,80.00)
Parent: 2303,11] ChildBox 7)  X:(80.00,160.00)  Y:(-80.00,0.00)  Z:(0.00,80.00)
Parent: 774,363] ChildBox 7)  X:(160.00,320.00)  Y:(-160.00,0.00)  Z:(0.00,160.00)
mzb:76, mmb:69  X:(203.76,236.85),  Y:(-58.12,-47.38),  Z:(79.00,121.00)
mzb:77, mmb:70  X:(214.63,225.45),  Y:(-58.12,-47.49),  Z:(68.39,81.00)
mzb:399, mmb:58  X:(212.82,214.06),  Y:(-51.77,-50.19),  Z:(90.43,91.66)
mzb:400, mmb:1  X:(222.57,223.07),  Y:(-44.50,-42.04),  Z:(155.52,156.02)
mzb:404, mmb:56  X:(218.00,220.00),  Y:(-50.85,-48.00),  Z:(119.74,120.06)
mzb:405, mmb:57  X:(217.45,222.55),  Y:(-53.50,-48.00),  Z:(119.50,120.50)
mzb:406, mmb:62  X:(215.38,224.62),  Y:(-60.00,-47.58),  Z:(116.00,124.00)
mzb:407, mmb:56  X:(222.00,224.00),  Y:(-50.85,-48.00),  Z:(119.74,120.06)
mzb:418, mmb:46  X:(232.84,233.04),  Y:(-45.00,-39.00),  Z:(157.02,157.22)
mzb:465, mmb:104  X:(201.02,202.52),  Y:(-42.10,-40.60),  Z:(157.44,158.94)
mzb:543, mmb:102  X:(200.18,202.29),  Y:(-43.58,-42.08),  Z:(156.21,158.32)
mzb:567, mmb:102  X:(199.43,200.93),  Y:(-42.10,-40.60),  Z:(156.35,157.85)
mzb:568, mmb:99  X:(200.44,201.68),  Y:(-44.24,-43.58),  Z:(156.76,158.42)
ParentNode [2332,13] X:160.00,320.00  Y:-160.00,0.00  Z:0.00,160.00
Parent: 2332,13] ChildBox 0)  X:(160.00,240.00)  Y:(-160.00,-80.00)  Z:(80.00,160.00)
Parent: 2332,13] ChildBox 1)  X:(240.00,320.00)  Y:(-160.00,-80.00)  Z:(80.00,160.00)
Parent: 2332,13] ChildBox 2)  X:(160.00,240.00)  Y:(-160.00,-80.00)  Z:(0.00,80.00)
Parent: 2332,13] ChildBox 3)  X:(240.00,320.00)  Y:(-160.00,-80.00)  Z:(0.00,80.00)
Parent: 2332,13] ChildBox 4)  X:(160.00,240.00)  Y:(-80.00,0.00)  Z:(80.00,160.00)
mzb:399, mmb:58  X:(212.82,214.06),  Y:(-51.77,-50.19),  Z:(90.43,91.66)
mzb:400, mmb:1  X:(222.57,223.07),  Y:(-44.50,-42.04),  Z:(155.52,156.02)
mzb:404, mmb:56  X:(218.00,220.00),  Y:(-50.85,-48.00),  Z:(119.74,120.06)
mzb:405, mmb:57  X:(217.45,222.55),  Y:(-53.50,-48.00),  Z:(119.50,120.50)
mzb:406, mmb:62  X:(215.38,224.62),  Y:(-60.00,-47.58),  Z:(116.00,124.00)
mzb:407, mmb:56  X:(222.00,224.00),  Y:(-50.85,-48.00),  Z:(119.74,120.06)
mzb:418, mmb:46  X:(232.84,233.04),  Y:(-45.00,-39.00),  Z:(157.02,157.22)
mzb:465, mmb:104  X:(201.02,202.52),  Y:(-42.10,-40.60),  Z:(157.44,158.94)
mzb:543, mmb:102  X:(200.18,202.29),  Y:(-43.58,-42.08),  Z:(156.21,158.32)
mzb:567, mmb:102  X:(199.43,200.93),  Y:(-42.10,-40.60),  Z:(156.35,157.85)
mzb:568, mmb:99  X:(200.44,201.68),  Y:(-44.24,-43.58),  Z:(156.76,158.42)
ParentNode [2345,11] X:160.00,240.00  Y:-80.00,0.00  Z:80.00,160.00
Parent: 2345,11] ChildBox 0)  X:(160.00,200.00)  Y:(-80.00,-40.00)  Z:(120.00,160.00)
Parent: 2345,11] ChildBox 1)  X:(200.00,240.00)  Y:(-80.00,-40.00)  Z:(120.00,160.00)
mzb:400, mmb:1  X:(222.57,223.07),  Y:(-44.50,-42.04),  Z:(155.52,156.02)
mzb:465, mmb:104  X:(201.02,202.52),  Y:(-42.10,-40.60),  Z:(157.44,158.94)
mzb:543, mmb:102  X:(200.18,202.29),  Y:(-43.58,-42.08),  Z:(156.21,158.32)
mzb:568, mmb:99  X:(200.44,201.68),  Y:(-44.24,-43.58),  Z:(156.76,158.42)
ParentNode [2356,4] X:200.00,240.00  Y:-80.00,-40.00  Z:120.00,160.00
Parent: 2356,4] ChildBox 0)  X:(200.00,220.00)  Y:(-80.00,-60.00)  Z:(140.00,160.00)
Parent: 2356,4] ChildBox 1)  X:(220.00,240.00)  Y:(-80.00,-60.00)  Z:(140.00,160.00)
Parent: 2356,4] ChildBox 2)  X:(200.00,220.00)  Y:(-80.00,-60.00)  Z:(120.00,140.00)
Parent: 2356,4] ChildBox 3)  X:(220.00,240.00)  Y:(-80.00,-60.00)  Z:(120.00,140.00)
Parent: 2356,4] ChildBox 4)  X:(200.00,220.00)  Y:(-60.00,-40.00)  Z:(140.00,160.00)
mzb:465, mmb:104  X:(201.02,202.52),  Y:(-42.10,-40.60),  Z:(157.44,158.94)
mzb:543, mmb:102  X:(200.18,202.29),  Y:(-43.58,-42.08),  Z:(156.21,158.32)
mzb:568, mmb:99  X:(200.44,201.68),  Y:(-44.24,-43.58),  Z:(156.76,158.42)
Parent: 2356,4] ChildBox 5)  X:(220.00,240.00)  Y:(-60.00,-40.00)  Z:(140.00,160.00)
mzb:400, mmb:1  X:(222.57,223.07),  Y:(-44.50,-42.04),  Z:(155.52,156.02)
Parent: 2356,4] ChildBox 6)  X:(200.00,220.00)  Y:(-60.00,-40.00)  Z:(120.00,140.00)
Parent: 2356,4] ChildBox 7)  X:(220.00,240.00)  Y:(-60.00,-40.00)  Z:(120.00,140.00)
Parent: 2345,11] ChildBox 2)  X:(160.00,200.00)  Y:(-80.00,-40.00)  Z:(80.00,120.00)
Parent: 2345,11] ChildBox 3)  X:(200.00,240.00)  Y:(-80.00,-40.00)  Z:(80.00,120.00)
mzb:399, mmb:58  X:(212.82,214.06),  Y:(-51.77,-50.19),  Z:(90.43,91.66)
Parent: 2345,11] ChildBox 4)  X:(160.00,200.00)  Y:(-40.00,0.00)  Z:(120.00,160.00)
Parent: 2345,11] ChildBox 5)  X:(200.00,240.00)  Y:(-40.00,0.00)  Z:(120.00,160.00)
Parent: 2345,11] ChildBox 6)  X:(160.00,200.00)  Y:(-40.00,0.00)  Z:(80.00,120.00)
Parent: 2345,11] ChildBox 7)  X:(200.00,240.00)  Y:(-40.00,0.00)  Z:(80.00,120.00)
Parent: 2332,13] ChildBox 5)  X:(240.00,320.00)  Y:(-80.00,0.00)  Z:(80.00,160.00)
Parent: 2332,13] ChildBox 6)  X:(160.00,240.00)  Y:(-80.00,0.00)  Z:(0.00,80.00)
Parent: 2332,13] ChildBox 7)  X:(240.00,320.00)  Y:(-80.00,0.00)  Z:(0.00,80.00)
Parent: 0,766] ChildBox 2)  X:(-320.00,0.00)  Y:(-320.00,0.00)  Z:(-320.00,0.00)
mzb:16, mmb:67  X:(-116.31,-83.77),  Y:(-19.94,-7.05),  Z:(-120.00,-80.00)
mzb:18, mmb:68  X:(-32.41,-7.55),  Y:(-19.94,-7.05),  Z:(-80.00,-39.82)
mzb:19, mmb:66  X:(-41.00,-11.57),  Y:(-18.49,-6.83),  Z:(-272.31,-239.00)
mzb:20, mmb:66  X:(-68.43,-39.00),  Y:(-18.49,-6.83),  Z:(-281.00,-247.69)
mzb:21, mmb:70  X:(-65.37,-54.55),  Y:(-18.12,-7.49),  Z:(-291.61,-279.00)
mzb:22, mmb:66  X:(-112.31,-79.00),  Y:(-18.49,-6.83),  Z:(-148.43,-119.00)
mzb:23, mmb:66  X:(-108.43,-79.00),  Y:(-18.49,-6.83),  Z:(-81.00,-47.69)
mzb:24, mmb:70  X:(-81.00,-68.39),  Y:(-18.12,-7.49),  Z:(-65.37,-54.55)
mzb:25, mmb:44  X:(-24.25,-15.73),  Y:(-20.70,-7.51),  Z:(-240.00,-235.08)
mzb:27, mmb:32  X:(-40.00,-6.63),  Y:(-5.17,-2.21),  Z:(-156.86,-120.00)
mzb:30, mmb:42  X:(-54.50,-42.50),  Y:(-5.26,-1.72),  Z:(-200.00,-160.00)
mzb:33, mmb:37  X:(-54.50,-40.00),  Y:(-4.45,-1.96),  Z:(-160.00,-145.50)
mzb:35, mmb:37  X:(-40.00,-25.50),  Y:(-4.45,-1.96),  Z:(-120.00,-105.50)
mzb:37, mmb:34  X:(-54.50,-40.00),  Y:(-4.27,-1.25),  Z:(-214.50,-200.00)
mzb:38, mmb:45  X:(-40.00,0.00),  Y:(-5.45,-2.60),  Z:(-214.50,-201.51)
mzb:46, mmb:36  X:(-80.00,-75.95),  Y:(-18.00,-7.62),  Z:(-144.37,-135.61)
mzb:48, mmb:36  X:(-24.37,-15.61),  Y:(-18.00,-7.62),  Z:(-84.05,-80.00)
mzb:100, mmb:14  X:(-95.69,-92.80),  Y:(-8.06,-7.26),  Z:(-95.94,-92.11)
mzb:101, mmb:13  X:(-103.89,-95.90),  Y:(-12.86,-7.09),  Z:(-111.50,-103.80)
mzb:102, mmb:14  X:(-91.82,-87.60),  Y:(-7.85,-7.16),  Z:(-107.34,-103.85)
mzb:103, mmb:13  X:(-109.06,-99.90),  Y:(-12.98,-7.20),  Z:(-99.68,-90.36)
mzb:104, mmb:13  X:(-21.45,-12.13),  Y:(-12.77,-6.99),  Z:(-72.86,-63.69)
mzb:105, mmb:13  X:(-29.42,-19.71),  Y:(-13.03,-7.25),  Z:(-60.92,-51.27)
mzb:106, mmb:14  X:(-15.02,-11.82),  Y:(-8.28,-7.62),  Z:(-55.26,-51.22)
mzb:107, mmb:14  X:(-20.15,-15.80),  Y:(-9.12,-7.89),  Z:(-52.21,-47.46)
mzb:108, mmb:14  X:(-12.56,-9.63),  Y:(-14.69,-12.82),  Z:(-47.50,-43.68)
mzb:109, mmb:25  X:(-106.00,-94.00),  Y:(-22.00,-7.25),  Z:(-88.00,-84.00)
mzb:110, mmb:26  X:(-105.50,-94.50),  Y:(-19.01,-7.30),  Z:(-88.00,-86.00)
mzb:111, mmb:27  X:(-100.80,-94.00),  Y:(-19.00,-8.00),  Z:(-85.40,-84.60)
mzb:112, mmb:28  X:(-106.00,-99.20),  Y:(-19.00,-8.00),  Z:(-85.40,-84.60)
mzb:127, mmb:6  X:(-80.00,-75.94),  Y:(-18.00,-7.62),  Z:(-144.37,-135.61)
mzb:129, mmb:6  X:(-24.37,-15.61),  Y:(-18.00,-7.62),  Z:(-84.06,-80.00)
mzb:130, mmb:7  X:(-24.25,-15.73),  Y:(-20.70,-7.51),  Z:(-240.00,-235.08)
mzb:170, mmb:80  X:(-3.28,-1.40),  Y:(-0.40,0.00),  Z:(-207.85,-202.39)
mzb:176, mmb:76  X:(-21.94,-20.83),  Y:(-0.10,0.00),  Z:(-154.04,-152.74)
mzb:180, mmb:80  X:(-33.58,-31.70),  Y:(-0.40,0.00),  Z:(-202.82,-197.35)
mzb:181, mmb:81  X:(-47.18,-42.81),  Y:(-0.30,0.00),  Z:(-205.83,-198.82)
mzb:764, mmb:4  X:(-13.77,-9.81),  Y:(-10.79,-8.79),  Z:(-50.09,-49.48)
mzb:765, mmb:4  X:(-16.39,-13.72),  Y:(-10.79,-8.79),  Z:(-50.10,-47.12)
ParentNode [2365,39] X:-320.00,0.00  Y:-320.00,0.00  Z:-320.00,0.00
Parent: 2365,39] ChildBox 0)  X:(-320.00,-160.00)  Y:(-320.00,-160.00)  Z:(-160.00,0.00)
Parent: 2365,39] ChildBox 1)  X:(-160.00,0.00)  Y:(-320.00,-160.00)  Z:(-160.00,0.00)
Parent: 2365,39] ChildBox 2)  X:(-320.00,-160.00)  Y:(-320.00,-160.00)  Z:(-320.00,-160.00)
Parent: 2365,39] ChildBox 3)  X:(-160.00,0.00)  Y:(-320.00,-160.00)  Z:(-320.00,-160.00)
Parent: 2365,39] ChildBox 4)  X:(-320.00,-160.00)  Y:(-160.00,0.00)  Z:(-160.00,0.00)
Parent: 2365,39] ChildBox 5)  X:(-160.00,0.00)  Y:(-160.00,0.00)  Z:(-160.00,0.00)
mzb:16, mmb:67  X:(-116.31,-83.77),  Y:(-19.94,-7.05),  Z:(-120.00,-80.00)
mzb:18, mmb:68  X:(-32.41,-7.55),  Y:(-19.94,-7.05),  Z:(-80.00,-39.82)
mzb:22, mmb:66  X:(-112.31,-79.00),  Y:(-18.49,-6.83),  Z:(-148.43,-119.00)
mzb:23, mmb:66  X:(-108.43,-79.00),  Y:(-18.49,-6.83),  Z:(-81.00,-47.69)
mzb:24, mmb:70  X:(-81.00,-68.39),  Y:(-18.12,-7.49),  Z:(-65.37,-54.55)
mzb:27, mmb:32  X:(-40.00,-6.63),  Y:(-5.17,-2.21),  Z:(-156.86,-120.00)
mzb:33, mmb:37  X:(-54.50,-40.00),  Y:(-4.45,-1.96),  Z:(-160.00,-145.50)
mzb:35, mmb:37  X:(-40.00,-25.50),  Y:(-4.45,-1.96),  Z:(-120.00,-105.50)
mzb:46, mmb:36  X:(-80.00,-75.95),  Y:(-18.00,-7.62),  Z:(-144.37,-135.61)
mzb:48, mmb:36  X:(-24.37,-15.61),  Y:(-18.00,-7.62),  Z:(-84.05,-80.00)
mzb:100, mmb:14  X:(-95.69,-92.80),  Y:(-8.06,-7.26),  Z:(-95.94,-92.11)
mzb:101, mmb:13  X:(-103.89,-95.90),  Y:(-12.86,-7.09),  Z:(-111.50,-103.80)
mzb:102, mmb:14  X:(-91.82,-87.60),  Y:(-7.85,-7.16),  Z:(-107.34,-103.85)
mzb:103, mmb:13  X:(-109.06,-99.90),  Y:(-12.98,-7.20),  Z:(-99.68,-90.36)
mzb:104, mmb:13  X:(-21.45,-12.13),  Y:(-12.77,-6.99),  Z:(-72.86,-63.69)
mzb:105, mmb:13  X:(-29.42,-19.71),  Y:(-13.03,-7.25),  Z:(-60.92,-51.27)
mzb:106, mmb:14  X:(-15.02,-11.82),  Y:(-8.28,-7.62),  Z:(-55.26,-51.22)
mzb:107, mmb:14  X:(-20.15,-15.80),  Y:(-9.12,-7.89),  Z:(-52.21,-47.46)
mzb:108, mmb:14  X:(-12.56,-9.63),  Y:(-14.69,-12.82),  Z:(-47.50,-43.68)
mzb:109, mmb:25  X:(-106.00,-94.00),  Y:(-22.00,-7.25),  Z:(-88.00,-84.00)
mzb:110, mmb:26  X:(-105.50,-94.50),  Y:(-19.01,-7.30),  Z:(-88.00,-86.00)
mzb:111, mmb:27  X:(-100.80,-94.00),  Y:(-19.00,-8.00),  Z:(-85.40,-84.60)
mzb:112, mmb:28  X:(-106.00,-99.20),  Y:(-19.00,-8.00),  Z:(-85.40,-84.60)
mzb:127, mmb:6  X:(-80.00,-75.94),  Y:(-18.00,-7.62),  Z:(-144.37,-135.61)
mzb:129, mmb:6  X:(-24.37,-15.61),  Y:(-18.00,-7.62),  Z:(-84.06,-80.00)
mzb:176, mmb:76  X:(-21.94,-20.83),  Y:(-0.10,0.00),  Z:(-154.04,-152.74)
mzb:764, mmb:4  X:(-13.77,-9.81),  Y:(-10.79,-8.79),  Z:(-50.09,-49.48)
mzb:765, mmb:4  X:(-16.39,-13.72),  Y:(-10.79,-8.79),  Z:(-50.10,-47.12)
ParentNode [2404,28] X:-160.00,0.00  Y:-160.00,0.00  Z:-160.00,0.00
Parent: 2404,28] ChildBox 0)  X:(-160.00,-80.00)  Y:(-160.00,-80.00)  Z:(-80.00,0.00)
Parent: 2404,28] ChildBox 1)  X:(-80.00,0.00)  Y:(-160.00,-80.00)  Z:(-80.00,0.00)
Parent: 2404,28] ChildBox 2)  X:(-160.00,-80.00)  Y:(-160.00,-80.00)  Z:(-160.00,-80.00)
Parent: 2404,28] ChildBox 3)  X:(-80.00,0.00)  Y:(-160.00,-80.00)  Z:(-160.00,-80.00)
Parent: 2404,28] ChildBox 4)  X:(-160.00,-80.00)  Y:(-80.00,0.00)  Z:(-80.00,0.00)
Parent: 2404,28] ChildBox 5)  X:(-80.00,0.00)  Y:(-80.00,0.00)  Z:(-80.00,0.00)
mzb:18, mmb:68  X:(-32.41,-7.55),  Y:(-19.94,-7.05),  Z:(-80.00,-39.82)
mzb:104, mmb:13  X:(-21.45,-12.13),  Y:(-12.77,-6.99),  Z:(-72.86,-63.69)
mzb:105, mmb:13  X:(-29.42,-19.71),  Y:(-13.03,-7.25),  Z:(-60.92,-51.27)
mzb:106, mmb:14  X:(-15.02,-11.82),  Y:(-8.28,-7.62),  Z:(-55.26,-51.22)
mzb:107, mmb:14  X:(-20.15,-15.80),  Y:(-9.12,-7.89),  Z:(-52.21,-47.46)
mzb:108, mmb:14  X:(-12.56,-9.63),  Y:(-14.69,-12.82),  Z:(-47.50,-43.68)
mzb:764, mmb:4  X:(-13.77,-9.81),  Y:(-10.79,-8.79),  Z:(-50.09,-49.48)
mzb:765, mmb:4  X:(-16.39,-13.72),  Y:(-10.79,-8.79),  Z:(-50.10,-47.12)
